,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,3,3,2,63.4,57.0,6.1,6.18,3.89,2850.378893966957
1,0.38,2,5,4,60.3,61.0,4.68,4.71,2.83,854.3209966992277
2,0.52,5,3,4,61.8,56.0,5.19,5.16,3.2,1457.7087794510826
3,1.1,5,4,5,61.3,56.0,6.65,6.69,4.09,7206.66195646283
4,2.28,5,4,2,61.6,57.0,8.44,8.37,5.18,18298.8722741081
5,2.01,3,1,4,60.8,58.0,8.08,8.16,4.94,13086.979000243966
6,1.06,5,4,2,62.2,57.0,6.51,6.49,4.04,4322.441733427539
7,0.7,4,6,3,60.1,58.0,5.81,5.83,3.5,2641.730914152936
8,0.73,4,2,4,59.7,59.0,5.94,5.81,3.51,2422.0419785610115
9,0.73,5,3,8,61.6,55.0,5.8,5.82,3.58,3852.9420381095388
10,1.0,2,7,4,64.1,58.0,6.24,6.33,4.03,5770.309262825144
11,0.33,5,4,6,60.1,57.0,4.48,4.51,2.7,816.3605565261682
12,0.54,5,1,6,61.6,57.0,5.25,5.23,3.23,1402.4711170217627
13,0.33,5,7,4,61.9,53.0,4.49,4.46,2.77,783.8339404107667
14,0.51,1,7,4,64.4,54.0,5.06,5.03,3.25,1524.6389889514735
15,0.51,5,6,3,62.4,55.0,5.09,5.14,3.19,1482.3833033566666
16,0.3,2,2,3,63.2,55.0,4.25,4.29,2.7,369.3211601219788
17,2.66,2,3,2,64.3,60.0,8.71,8.65,5.58,20625.895295029834
18,0.92,4,5,3,61.8,59.0,6.21,6.25,3.85,4188.492882350713
19,0.3,5,4,8,62.2,55.0,4.3,4.32,2.68,781.282687555945
20,1.0,3,3,3,62.0,54.0,6.43,6.47,4.0,4150.065657099796
21,0.34,3,5,5,61.1,57.0,4.51,4.54,2.76,801.2309223610985
22,1.01,3,5,2,62.4,58.0,6.37,6.41,3.99,3999.841585186452
23,0.87,5,5,5,62.0,55.0,6.1,6.13,3.79,4925.623033706885
24,1.26,4,7,2,61.9,58.0,6.88,6.81,4.24,6844.022627225403
25,0.38,4,6,5,60.2,58.0,4.66,4.71,2.82,1068.3174460004625
26,0.55,5,5,6,62.3,54.0,5.29,5.27,3.29,2267.0855078270242
27,0.65,4,4,3,61.9,58.0,5.54,5.51,3.42,2047.8110428647321
28,0.41,4,7,6,62.2,58.0,4.8,4.78,2.98,1399.407710943496
29,0.7,3,2,1,63.2,59.0,5.62,5.59,3.54,1114.2345269073721
30,1.03,3,2,5,62.9,53.0,6.45,6.5,4.07,5006.1370165306525
31,0.34,5,5,6,61.3,56.0,4.52,4.56,2.78,917.2006253673804
32,0.73,5,2,7,61.7,53.0,5.8,5.84,3.59,3232.8349586205854
33,0.83,5,7,2,62.1,56.0,6.0,6.04,3.74,3186.0514900134717
34,0.51,3,4,3,63.0,53.0,5.1,5.13,3.22,1263.4695759772198
35,1.06,5,6,4,61.3,57.0,6.54,6.57,4.02,6752.968088799379
36,0.41,5,7,5,61.8,57.0,4.75,4.8,2.95,1310.5671877121608
37,1.03,5,5,4,60.4,56.0,6.59,6.56,3.97,6094.479762295868
38,0.32,5,7,3,61.3,55.0,4.41,4.46,2.72,644.3640088812225
39,0.3,4,1,5,62.6,58.0,4.32,4.27,2.69,415.30442626461775
40,0.32,3,7,6,60.1,58.0,4.41,4.44,2.66,857.2828477271863
41,0.33,5,4,5,61.7,56.0,4.44,4.47,2.75,746.397539398472
